epoch,train_loss,val_loss,lr,epoch_time_s,train_ppl,val_ppl
1,5.951477926927091,4.884643645226201,9.397368756032445e-05,4652.812267303467,384.3209177708886,132.24333139414586
2,4.628430135103491,4.315546162520783,7.008477123264848e-05,4643.163470506668,102.35325713548592,74.85449500135243
3,4.23157373678337,4.084922820706911,3.772572564296005e-05,4662.432880163193,68.8254601486054,59.437350241541054
4,4.041864780592687,3.987644361544259,1.0542974530180327e-05,4671.727173089981,56.93241033228213,53.92770544569747
5,3.9629221415905507,3.9704290749151494,1e-06,4653.063526630402,52.610837865526435,53.0072700508141
