epoch,lr,train_loss,val_loss,train_bleu,val_bleu,train_chrf,val_chrf,epoch_time_s
1,5e-05,8.349106846102401,7.725895833716821,0.0010699783638122482,0.0026210828761688712,9.005882738569547,0.6725898809893226,2893.795556783676
2,0.0001,7.648229976039575,7.255604395790706,0.015704559481584165,0.05896756651886964,0.6749032446607061,4.166668934835358,2893.745446205139
3,9.619397662556435e-05,7.205791029349837,6.996417562797586,0.07813937528948114,0.38358974462412665,4.586168255857319,5.887971475857078,2890.651827096939
4,8.535533905932738e-05,6.98460738593028,6.907156570878609,0.21516356773405743,0.4831374703134848,6.601218080342057,6.303574864508837,2828.91007399559
5,6.91341716182545e-05,6.850230176893141,6.837939542437357,0.26442638506502614,0.7454767858906928,7.8677747750010605,6.662328406231084,2551.8998563289642
6,5e-05,6.754503951221267,6.796019612165986,0.36483202373244716,1.0296627191608663,8.520955328886707,7.574518422455558,2496.2374176979065
7,3.086582838174551e-05,6.686666253172321,6.767385535769993,0.42720603824058523,1.1804397850247554,9.736473817932866,7.718426964026777,2512.258165359497
8,1.4644660940672627e-05,6.653840527823222,6.752035663241432,0.487940822144602,1.339100312917409,10.211476394375474,8.15318980866687,2540.101455926895
9,3.8060233744356633e-06,6.626886439561703,6.735597915750332,0.49870196509553244,1.2320957800782557,10.44711896332343,7.983127822942346,2528.0792696475983
10,1e-06,6.616215775112487,6.7371904736473445,0.4747540418788479,1.2762797514233701,10.77758165334567,8.073443577541944,2504.4126756191254
